Timestamp; Position; ID
5.08;(-0.01311142, 1.31702100, 0.08833839);254
5.1;(-0.01367952, 1.31617300, 0.08861669);255
5.12;(-0.01469216, 1.31268200, 0.08925337);256
5.14;(-0.01554897, 1.30723500, 0.08989252);257
5.16;(-0.01628567, 1.29955900, 0.09062131);258
5.18;(-0.01653669, 1.29492400, 0.09100734);259
5.2;(-0.01691742, 1.28490800, 0.09191860);260
5.22;(-0.01716962, 1.27404600, 0.09294239);261
5.24;(-0.01718175, 1.26267800, 0.09403260);262
5.26;(-0.01723279, 1.25170900, 0.09512136);263
5.28;(-0.01721717, 1.24650800, 0.09564684);264
5.3;(-0.01700000, 1.23681400, 0.09663493);265
5.32;(-0.01665443, 1.22846900, 0.09751593);266
5.34;(-0.01620995, 1.22234100, 0.09831224);267
5.36;(-0.01570300, 1.21857400, 0.09914783);268
5.38;(-0.01545477, 1.21793300, 0.09960120);269
5.4;(-0.01493144, 1.21809600, 0.10019520);270
5.42;(-0.01453517, 1.22082200, 0.10066730);271
5.44;(-0.01429122, 1.22626500, 0.10101680);272
5.46;(-0.01405862, 1.23375600, 0.10139590);273
5.48;(-0.01390816, 1.23810400, 0.10147880);274
5.5;(-0.01373881, 1.24741400, 0.10141960);275
5.52;(-0.01351027, 1.25746300, 0.10117680);276
5.54;(-0.01343066, 1.26766700, 0.10094370);277
5.56;(-0.01318211, 1.27762500, 0.10067780);278
5.58;(-0.01310205, 1.28221300, 0.10056650);279
5.6;(-0.01278958, 1.29081900, 0.10023500);280
5.62;(-0.01239002, 1.29792000, 0.09987359);281
5.64;(-0.01188315, 1.30351800, 0.09936637);282
5.66;(-0.01133937, 1.30723700, 0.09890065);283
5.68;(-0.01095403, 1.30823300, 0.09860641);284
5.7;(-0.01017221, 1.30894900, 0.09819348);285
5.72;(-0.00925152, 1.30747800, 0.09763539);286
5.74;(-0.00817868, 1.30390500, 0.09711470);287
5.76;(-0.00698117, 1.29864400, 0.09659563);288
5.78;(-0.00632061, 1.29546800, 0.09640770);289
5.8;(-0.00498552, 1.28819800, 0.09637111);290
5.82;(-0.00341617, 1.27954500, 0.09648824);291
5.84;(-0.00193720, 1.26978100, 0.09649015);292
5.86;(-0.00040130, 1.25930800, 0.09641346);293
5.88;(0.00026827, 1.25415100, 0.09640020);294
5.9;(0.00169795, 1.24421000, 0.09651828);295
5.92;(0.00310426, 1.23517100, 0.09701345);296
5.94;(0.00451876, 1.22747100, 0.09757066);297
5.96;(0.00513897, 1.22469500, 0.09787140);298
5.98;(0.00646514, 1.21994800, 0.09862006);299
6;(0.00775008, 1.21834600, 0.09918893);300
6.02;(0.00912201, 1.21967000, 0.09986454);301
6.04;(0.01048081, 1.22326100, 0.10043280);302
6.06;(0.01183737, 1.22920900, 0.10077490);303
6.08;(0.01240785, 1.23305600, 0.10090140);304
6.1;(0.01358564, 1.24187700, 0.10103250);305
6.12;(0.01460587, 1.25214800, 0.10101510);306
6.14;(0.01540823, 1.26296600, 0.10094510);307
6.16;(0.01580308, 1.26845700, 0.10072360);308
6.18;(0.01647306, 1.27951400, 0.10038110);309
6.2;(0.01694847, 1.28999700, 0.10006020);310
6.22;(0.01723314, 1.29959900, 0.09977741);311
6.24;(0.01744645, 1.30780500, 0.09950992);312
6.26;(0.01749488, 1.31116300, 0.09930947);313
6.28;(0.01752193, 1.31690500, 0.09880687);314
6.3;(0.01742581, 1.32082100, 0.09832475);315
6.32;(0.01715872, 1.32273900, 0.09789983);316
6.34;(0.01694380, 1.32237900, 0.09733564);317
6.36;(0.01683901, 1.32126500, 0.09713952);318
6.38;(0.01665994, 1.31772500, 0.09669429);319
6.4;(0.01655442, 1.31213000, 0.09637596);320
6.42;(0.01652431, 1.30443300, 0.09630802);321
6.44;(0.01662283, 1.29520000, 0.09624486);322
6.46;(0.01667190, 1.28998500, 0.09631748);323
6.48;(0.01686527, 1.27882900, 0.09629942);324
6.5;(0.01704013, 1.26714100, 0.09635940);325
6.52;(0.01725501, 1.25508400, 0.09667803);326
6.54;(0.01745680, 1.24369900, 0.09701290);327
6.56;(0.01756600, 1.23857600, 0.09714662);328
6.58;(0.01787042, 1.22915100, 0.09780657);329
6.6;(0.01810028, 1.22184300, 0.09854764);330
6.62;(0.01849378, 1.21672600, 0.09928948);331
6.64;(0.01882925, 1.21440000, 0.10014650);332
6.66;(0.01897493, 1.21418400, 0.10050330);333
6.68;(0.01920601, 1.21589100, 0.10114930);334
6.7;(0.01940480, 1.22025000, 0.10156870);335
6.72;(0.01944299, 1.22712500, 0.10190350);336
6.74;(0.01942516, 1.23597800, 0.10202190);337
