PosX;PosY;PosZ
0.06640646;1.501461;-0.1773658
0.06417909;1.457253;-0.1670131
0.06305307;1.43501;-0.1623572
0.06093087;1.390348;-0.1541373
0.05996552;1.368295;-0.1503747
0.0583699;1.3235;-0.1435244
0.05727834;1.30137;-0.1406696
0.05651047;1.278948;-0.1380194
0.05582644;1.235002;-0.1341857
0.05571298;1.213402;-0.132474
0.05518043;1.171732;-0.1287518
0.0550322;1.150613;-0.1273354
0.05508375;1.129948;-0.126393
0.0557233;1.090735;-0.1245544
0.0562755;1.070965;-0.1241176
0.05797852;1.032873;-0.1240234
0.05873999;1.014507;-0.1237889
0.06057226;0.9798156;-0.124409
0.06120505;0.9638741;-0.1252221
0.06290093;0.9352985;-0.1287678
0.06386437;0.923287;-0.130682
0.06476051;0.9128129;-0.1320381
0.06654868;0.897141;-0.1345719
0.06721362;0.8912184;-0.1356044
0.06924476;0.8895396;-0.1385
0.07032363;0.8921213;-0.1392753
0.07129625;0.9055157;-0.1391766
0.07224232;0.9145012;-0.1389868
0.07325637;0.9240203;-0.1393112
0.07478348;0.9453086;-0.1408371
0.07526764;0.9576858;-0.1412805
0.07639279;0.9846987;-0.14265
0.07719135;0.9997031;-0.1438116
0.07903499;1.032879;-0.1460235
0.08011489;1.050179;-0.1475164
0.0826257;1.08787;-0.1515788
0.08385633;1.108488;-0.1536344
0.08481066;1.129694;-0.1556039
0.08673271;1.173362;-0.1606847
0.08751677;1.195449;-0.1636313
0.088829;1.240703;-0.1687617
0.08925329;1.263759;-0.1711964
0.08934331;1.309993;-0.17628
0.0891308;1.333144;-0.1788591
0.0887941;1.356518;-0.1813213
0.0873841;1.404274;-0.1857
0.0865815;1.428696;-0.1877821
0.08509229;1.475483;-0.1916922
0.08449906;1.498325;-0.1937208
0.08306486;1.543733;-0.1972945
0.08239837;1.566417;-0.1987663
0.08175221;1.588014;-0.2002945
0.08050906;1.625665;-0.2037451
0.08019838;1.64271;-0.2057222
0.0795125;1.672868;-0.2095876
0.07914426;1.685947;-0.2115956
0.0784669;1.706324;-0.2157666
0.07835774;1.714549;-0.2182851
0.07759707;1.726333;-0.222744
0.07733988;1.729356;-0.2251231
0.07714658;1.731555;-0.2274686
0.07678164;1.731372;-0.2317189
0.07672418;1.729264;-0.2334656
0.07690706;1.724988;-0.2362527
0.0768835;1.724213;-0.2368815
0.07665727;1.723669;-0.2363758
0.0765633;1.722917;-0.2349539
0.07686668;1.717877;-0.2316814
0.07701845;1.712135;-0.2298953
0.07738184;1.704139;-0.2279517
0.07846605;1.684454;-0.2238625
0.07901243;1.672457;-0.2218662
0.07987964;1.642575;-0.2176986
0.08036257;1.624808;-0.2155021
0.08114529;1.586856;-0.2109089
0.08119965;1.566154;-0.207888
0.08093891;1.545027;-0.2046987
0.0797423;1.499494;-0.1971987
0.07886545;1.474109;-0.192851
0.0764062;1.423134;-0.1839124
0.07502659;1.396824;-0.1793604
0.07252543;1.342411;-0.1705171
0.07126778;1.314608;-0.1659791
0.0702693;1.287647;-0.1623538
0.06791312;1.23412;-0.153943
0.06698774;1.208569;-0.1497684
0.0659758;1.156326;-0.1417597
0.06585564;1.130629;-0.139083
0.06567093;1.082918;-0.1338352
0.06574833;1.060629;-0.1310926
0.06619349;1.015248;-0.1252735
0.06659111;0.9936246;-0.1229091
0.06675275;0.9715912;-0.1214867
0.0675073;0.9362273;-0.120003
0.06820451;0.9208781;-0.120269
0.06909618;0.89479;-0.1198252
0.06915339;0.8847076;-0.1182221
0.06963918;0.8774081;-0.1168126
0.07002044;0.8800365;-0.1167339
0.07033657;0.8849823;-0.1159913
0.07055405;0.9041141;-0.1143814
0.07062515;0.9162223;-0.1134181
