PosX;PosY;PosZ
0.07649584;1.2412;0.1066758
0.07548919;1.221372;0.109053
0.07376391;1.186797;0.1127934
0.0731683;1.173965;0.1151549
0.07205319;1.151266;0.1190893
0.07153103;1.145778;0.120235
0.07110702;1.144113;0.1213155
0.07003227;1.150502;0.1222992
0.06952666;1.159589;0.1225251
0.06890753;1.184851;0.1218493
0.06887454;1.200296;0.1207075
0.06855935;1.234913;0.1176542
0.06836035;1.252728;0.1163291
0.06834131;1.27135;0.1146078
0.06833126;1.306805;0.1121582
0.06821395;1.323515;0.1110649
0.06826858;1.353732;0.1088626
0.0683995;1.366302;0.1078674
0.06888667;1.387161;0.1060185
0.06909522;1.395168;0.1054414
0.06942869;1.40522;0.1047732
0.0696581;1.407051;0.104638
0.06977282;1.407265;0.10506
0.06997873;1.402465;0.1065663
0.07001485;1.396892;0.1080706
0.06986301;1.38173;0.112026
0.06968041;1.371116;0.114694
0.0689946;1.345648;0.1203382
0.06854512;1.32972;0.1235105
0.06796889;1.312249;0.1268254
0.06653866;1.27452;0.1333919
0.06572896;1.25558;0.1360993
0.06455851;1.217711;0.1407617
0.0642135;1.2002;0.1429878
0.06433117;1.16904;0.1469885
0.06440886;1.155913;0.1487153
0.06421751;1.141797;0.1517499
0.0643148;1.139458;0.1532849
0.06439877;1.140759;0.1539437
0.06391059;1.153902;0.1552492
0.06348766;1.165132;0.1557956
0.06267714;1.1946;0.1557008
0.06220896;1.21133;0.1548307
0.06089774;1.24748;0.1532526
0.06018277;1.266446;0.152507
0.05949511;1.285584;0.1516208
0.05841303;1.321808;0.1499332
0.05793577;1.339123;0.14878
0.05688067;1.37004;0.1470199
0.05672912;1.383442;0.1455759
0.05641497;1.404471;0.1431379
0.05623594;1.412776;0.1417754
0.05618711;1.419121;0.1402919
0.05597696;1.42657;0.1374113
0.05599345;1.427668;0.1361349
0.05618338;1.424609;0.1343324
0.05605823;1.420925;0.1336132
0.0562488;1.407317;0.1328478
0.0561709;1.397651;0.1329429
0.05611174;1.374069;0.1335866
0.0562407;1.359429;0.1342187
0.05633347;1.342745;0.1351118
0.05630115;1.305813;0.1372645
0.05636881;1.286016;0.1383654
0.05674027;1.244877;0.1405931
0.05692445;1.224558;0.1416475
0.05684426;1.205798;0.1423852
0.05667903;1.173438;0.1436728
0.05597393;1.149565;0.1453076
0.05576017;1.142038;0.1451727
0.05566863;1.137406;0.1446245
0.05522808;1.140672;0.1430433
0.05480057;1.148201;0.1422386
0.05419317;1.172205;0.1402189
0.05369517;1.187535;0.1388883
0.05241065;1.222121;0.1346722
0.05188926;1.24095;0.1324624
0.05146687;1.260054;0.1304142
0.05094306;1.298185;0.1266697
0.05074468;1.31671;0.1248863
0.05072985;1.351738;0.1212359
0.05100573;1.367545;0.1193731
0.05173486;1.395405;0.1155711
0.0523062;1.406912;0.1137528
0.05309089;1.416842;0.1118773
0.0552607;1.431582;0.108336
0.05646267;1.436961;0.1066992
0.05929679;1.442165;0.1039433
0.06072472;1.442668;0.1028171
0.06385835;1.437484;0.1010796
0.06563198;1.432612;0.1001577
0.06893805;1.417884;0.09847216
0.07061162;1.40791;0.09753635
0.07220339;1.396746;0.09656358
0.07538883;1.372841;0.09442239
0.07673949;1.359915;0.09358594
0.07906988;1.333032;0.0918963
0.08009101;1.320091;0.09082264
0.08162674;1.294908;0.08865988
0.08215614;1.282674;0.08740832
0.08262856;1.271006;0.08589853
0.08320897;1.250332;0.08209243
0.08344101;1.240371;0.07986896
0.08374286;1.223241;0.07458699
0.08364284;1.216287;0.07183204
0.08351593;1.205919;0.06613358
0.08328781;1.202616;0.06309508
0.08275588;1.200812;0.06016445
0.08155061;1.199846;0.05426233
0.08089017;1.200783;0.05135675
0.07920923;1.205333;0.046059
0.07835318;1.208699;0.04354078
0.07659201;1.216556;0.03871672
0.07561603;1.221189;0.0366043
0.0740419;1.231113;0.03294658
0.07334264;1.236013;0.03142729
0.0726985;1.240861;0.03000076
0.07200949;1.250365;0.02743601
0.07180039;1.254874;0.02635577
0.0716765;1.262914;0.02467785
0.07173577;1.266614;0.02409506
0.07211167;1.273362;0.02308285
0.07236309;1.275987;0.02257937
0.07273178;1.27837;0.02202627
0.07347967;1.28166;0.02076167
0.07401814;1.282798;0.02014159
0.07509623;1.284385;0.01908538
0.07556308;1.284575;0.01866714
0.07641442;1.283643;0.01751128
0.07669164;1.282512;0.01682727
0.0767353;1.279823;0.0150254
0.07637963;1.278455;0.01387866
0.07551702;1.277121;0.01264134
0.07365663;1.274098;0.009846423
0.07289152;1.272851;0.008121312
0.07148734;1.269947;0.00483572
0.07314881;1.271211;0.003594547
0.07559879;1.271159;0.002748976
0.07565694;1.269916;0.001487678
0.07722422;1.268984;-0.0002382619
0.07886974;1.269104;-0.003389419
0.07963552;1.267115;-0.003879938
0.08207195;1.266771;-0.005719835
0.08219253;1.266484;-0.005213094
0.08304016;1.268986;-0.004615005
0.08258523;1.269513;-0.002826054
0.0815971;1.273579;-0.0006655324
0.08034364;1.276145;0.001236048
0.07977059;1.277678;0.002782004
0.07486191;1.288374;0.001301612
0.07495721;1.288715;0.004138051
0.07432245;1.297198;0.003192652
0.07436911;1.299178;0.00412855
0.07445188;1.304897;0.004089929
0.07450232;1.307699;0.004000791
0.07510637;1.309971;0.003652749
0.07705645;1.311351;0.003429209
0.07816966;1.310274;0.003636339
0.08281422;1.308927;0.001267643
0.08552917;1.307209;0.0002595019
0.0879932;1.30609;-0.001092506
0.09314901;1.303415;-0.003503919
0.0980808;1.301673;-0.00689023
0.1002249;1.301468;-0.008708708
0.1018922;1.301388;-0.0105773
0.1051362;1.301469;-0.01455943
0.1067063;1.301839;-0.01662045
0.1097281;1.302056;-0.02138466
0.1112545;1.302256;-0.02388093
0.1141808;1.302759;-0.02925971
0.1153763;1.30304;-0.03176034
0.1165065;1.303266;-0.03425706
0.1184093;1.303933;-0.03899087
0.1193144;1.304423;-0.04137142
0.1209279;1.305344;-0.04562013
0.1217384;1.305806;-0.04763556
0.1231812;1.306632;-0.05138078
0.1236122;1.307007;-0.05304834
0.124093;1.307396;-0.05475304
0.1248903;1.308236;-0.0580253
0.1250747;1.308623;-0.05934296
0.1254349;1.309418;-0.06217182
0.1254872;1.309847;-0.06354701
0.1253483;1.310515;-0.066117
0.1252309;1.310884;-0.06724411
0.1247605;1.311883;-0.06924343
0.1245938;1.312544;-0.07022786
0.1245146;1.313141;-0.07122155
0.1241679;1.314014;-0.07300033
0.1238817;1.314416;-0.0737316
0.1234009;1.31532;-0.07533455
0.1232493;1.31573;-0.07606016
0.1230913;1.315879;-0.07764432
0.1231088;1.315889;-0.07844232
0.1234701;1.315723;-0.08025699
0.1236717;1.315477;-0.08113579
0.1238909;1.315257;-0.08206096
0.124458;1.314834;-0.0836876
0.1247082;1.314716;-0.08461114
0.1253257;1.314301;-0.08650393
0.1256544;1.314003;-0.08721885
0.1262458;1.313908;-0.08916443
0.126561;1.31416;-0.0901681
0.1268303;1.314147;-0.09096581
0.1277616;1.314186;-0.09316757
0.1280437;1.314427;-0.09407698
0.1286768;1.315351;-0.09638429
0.1290015;1.31589;-0.09746852
0.1298757;1.316783;-0.0997566
0.1303638;1.317292;-0.100916
0.1307393;1.317973;-0.1021356
0.131675;1.319663;-0.1046667
0.1321444;1.320299;-0.1057218
0.133426;1.320977;-0.1074999
0.133715;1.321726;-0.108716
0.1359216;1.322987;-0.1108696
0.1362378;1.323995;-0.1115719
0.1368958;1.324728;-0.1120575
0.1387096;1.325974;-0.1131589
0.1398058;1.326359;-0.1135575
0.1418724;1.327653;-0.1142027
0.1429511;1.328446;-0.1144004
