PosX;PosY;PosZ
0.04595641;1.204635;0.003830258
0.04744545;1.238119;0.004191807
0.04782715;1.253522;0.004671616
0.04817443;1.268747;0.005187148
0.04772101;1.294941;0.007253963
0.04735529;1.306549;0.008717342
0.04678778;1.325622;0.01210882
0.04633973;1.332859;0.01377183
0.04518796;1.342069;0.01654102
0.04473512;1.343655;0.01758303
0.04426553;1.343152;0.01847751
0.04367135;1.336252;0.01944252
0.04355066;1.329561;0.01970002
0.0436365;1.311283;0.01973771
0.04371073;1.299569;0.01972351
0.0441074;1.270451;0.01998478
0.0443417;1.253546;0.02012875
0.04461436;1.216104;0.02120013
0.04451919;1.19527;0.02222538
0.04452375;1.174112;0.02302503
0.04458019;1.129029;0.02502685
0.04446612;1.105975;0.02617788
0.04419961;1.061482;0.02747524
0.04396584;1.040063;0.02841791
0.0431873;0.9973385;0.03083928
0.0428083;0.9771388;0.03180811
0.04248771;0.9569232;0.03306336
0.04101403;0.9215862;0.03453052
0.04057694;0.904573;0.03444208
0.04101384;0.8750349;0.03439733
0.04071486;0.8627884;0.03484841
0.04010172;0.848083;0.03490829
0.03970653;0.8440394;0.03451113
0.03844289;0.8438439;0.03318866
0.03756949;0.848867;0.03309667
0.03664814;0.8544452;0.03340396
0.03436541;0.8748555;0.0349181
0.03301201;0.8865513;0.03634213
0.030683;0.9111133;0.03913701
0.02995498;0.9246219;0.04058297
0.02792821;0.9527541;0.04352973
0.02698144;0.9680255;0.04472492
0.02564386;0.9998355;0.04704913
0.02508164;1.016461;0.04797155
0.0244172;1.033563;0.04849091
0.02364263;1.06901;0.04880629
0.02368629;1.086889;0.04858351
0.02317752;1.123509;0.0484907
0.02297524;1.14211;0.04846898
0.02277262;1.178416;0.04816988
0.02265877;1.195768;0.04800051
0.02253934;1.212863;0.04749771
0.02167247;1.246261;0.04638507
0.02115244;1.262756;0.04584356
0.02032338;1.293653;0.04496279
0.01989244;1.307758;0.04467135
0.01926549;1.331041;0.04466145
0.01887892;1.34073;0.04523911
0.01869855;1.349158;0.04568977
0.01849031;1.36144;0.04690135
0.01845914;1.364429;0.04768598
0.01827796;1.365652;0.04875115
0.01833837;1.363347;0.04912242
0.01869994;1.353362;0.04936056
0.01897133;1.34547;0.04910458
0.01934844;1.335621;0.04843693
0.02007323;1.312218;0.0465694
0.02043634;1.297613;0.0452415
0.02109253;1.265728;0.04196089
0.02121868;1.24817;0.04065693
0.02120234;1.211452;0.03836415
0.02098209;1.192234;0.03756229
0.0203009;1.152525;0.03599474
0.01987302;1.131953;0.03524835
0.01942834;1.111036;0.03439031
0.01860838;1.070323;0.03272393
0.01800331;1.050804;0.03208054
0.01746041;1.01301;0.03222662
0.01753572;0.9939492;0.03276495
0.01733796;0.957216;0.03273603
0.01706697;0.9396125;0.03277574
0.01717158;0.9227834;0.03307768
0.01780204;0.891801;0.03360323
0.01758228;0.8782662;0.0336664
0.01749375;0.8594118;0.03250521
0.01772173;0.8540888;0.03235575
0.01767455;0.8538842;0.03204101
0.01749338;0.8562223;0.03087277
0.01830103;0.873496;0.03030246
0.01874952;0.8846189;0.03144164
0.01954667;0.8968453;0.03246186
0.02103584;0.9229312;0.03447901
0.02173853;0.9370167;0.03580001
0.02349745;0.9668347;0.03810643
0.02421015;0.9823815;0.03895544
0.0256274;1.013851;0.04047764
0.02654827;1.030525;0.04097394
0.02731301;1.047474;0.04142344
0.02861324;1.081203;0.04179221
0.02938065;1.098246;0.04176209
0.03104936;1.131507;0.04182402
0.03163038;1.148504;0.04207219
0.03268497;1.180666;0.04296362
0.03309014;1.196294;0.04319537
0.0336348;1.211495;0.04337258
0.03395901;1.240646;0.04380241
0.03386571;1.254454;0.04413228
