PosX;PosY;PosZ
0.05165464;1.710722;-0.1399196
0.05206224;1.710445;-0.1387745
0.05201013;1.710126;-0.1381606
0.05179358;1.709795;-0.1374982
0.05112366;1.70863;-0.135773
0.05056956;1.707956;-0.1347032
0.04926658;1.707084;-0.131916
0.04844042;1.706737;-0.130221
0.04666505;1.706126;-0.1263523
0.04562046;1.706549;-0.1240776
0.04351411;1.706935;-0.1186242
0.04220865;1.707299;-0.1154509
0.0408152;1.706951;-0.1120536
0.03759792;1.70571;-0.1052895
0.03565781;1.704122;-0.1017928
0.03107532;1.700447;-0.09495802
0.02816521;1.698076;-0.09109304
0.02132167;1.69009;-0.08277448
0.01746604;1.685368;-0.07844786
0.01316626;1.679123;-0.07371388
0.004248067;1.663665;-0.06327515
-0.0003943341;1.653285;-0.05723588
-0.01044153;1.631384;-0.04481319
-0.01529251;1.616978;-0.03835437
-0.02470805;1.586719;-0.02567495
-0.02921912;1.569377;-0.01902535
-0.03366807;1.551057;-0.01196284
-0.04234031;1.513915;0.003647004
-0.04635994;1.492986;0.01226992
-0.05374229;1.450315;0.0293054
-0.05713559;1.427989;0.03753768
-0.06039093;1.404118;0.0455164
-0.066126;1.356031;0.06040077
-0.06832599;1.33225;0.06756249
-0.0716733;1.28215;0.08114476
-0.07303258;1.257372;0.08698942
-0.07526258;1.209931;0.09743461
-0.07567602;1.184743;0.102146
-0.07754036;1.135515;0.1095424
-0.07853472;1.110687;0.112267
-0.0793881;1.06298;0.1162685
-0.07941192;1.039268;0.1173319
-0.07961612;1.016403;0.1182025
-0.07829995;0.9723397;0.1197096
-0.07686212;0.9508103;0.1200336
-0.07384161;0.9127742;0.1197654
-0.07231799;0.8950716;0.1197151
-0.07002179;0.8635694;0.1197841
-0.06861348;0.8482805;0.1204817
-0.06618544;0.8268631;0.1219519
-0.06455198;0.82014;0.1217749
-0.06271639;0.8138071;0.1213822
-0.05949758;0.8111661;0.1220084
-0.05620556;0.8139727;0.1207942
-0.05077934;0.8260504;0.1194621
-0.04849392;0.8344592;0.1185018
-0.04348948;0.8600095;0.1140762
-0.040139;0.8754809;0.1123876
-0.03728986;0.8919878;0.1103955
-0.03269577;0.9254847;0.1041793
-0.03159814;0.9441597;0.1010793
-0.02870349;0.9836682;0.09553146
-0.02674584;1.00414;0.09162526
-0.02303786;1.044718;0.0821794
-0.02144841;1.066692;0.07823678
-0.01769595;1.112994;0.07099468
-0.01653144;1.135566;0.06542062
-0.01538967;1.158583;0.05886959
-0.01339013;1.206519;0.04736206
-0.01209006;1.230894;0.04224576
-0.009542586;1.27601;0.03030078
-0.008608765;1.29794;0.02347815
-0.007177914;1.340937;0.01070238
-0.006204503;1.362643;0.00487082
-0.005612794;1.384839;-0.000453874
-0.004893687;1.431885;-0.009670057
-0.004574277;1.455531;-0.01325897
-0.004024349;1.50023;-0.02096649
-0.003548816;1.520556;-0.02544076
-0.003685947;1.558994;-0.03446269
-0.003918592;1.577329;-0.03924817
-0.003931936;1.595022;-0.04381235
-0.002828501;1.626822;-0.05349484
-0.00236911;1.640184;-0.05825751
-0.001281311;1.662754;-0.0682148
-0.0007102564;1.671322;-0.07321385
0.0004607216;1.685632;-0.08318263
0.000812903;1.690731;-0.08777369
0.001303672;1.697925;-0.09611464
0.00164311;1.699833;-0.09982987
0.001922842;1.700059;-0.1027947
0.002385896;1.69971;-0.1079456
0.002376791;1.698756;-0.1097073
0.002286054;1.695896;-0.1112591
0.002433725;1.69464;-0.1109162
0.002159737;1.692853;-0.1072374
0.001888331;1.692271;-0.1043373
0.001445099;1.691607;-0.1001153
0.0006347457;1.687773;-0.09081694
0.0002733888;1.683992;-0.08659518
-0.0004309937;1.672771;-0.07854957
